Epoch,Discriminator loss,Generator loss,Accuracy real,Accuracy fake
1,0.07195932418107986,2.26159930229187,1.0,1.0
3,0.22548484802246094,0.9847532510757446,0.9784560203552246,0.9993333220481873
5,0.2981729805469513,0.9940056800842285,0.9892280101776123,0.671999990940094
7,0.2873769998550415,1.5765999555587769,0.6624775528907776,0.9359999895095825
9,0.22671641409397125,2.487027645111084,0.5026929974555969,1.0
11,0.25915423035621643,1.4461696147918701,0.17055656015872955,0.8379999995231628
13,0.2530626952648163,1.628031611442566,0.11849191784858704,0.9200000166893005
15,0.22657427191734314,0.9032143354415894,0.35368043184280396,0.47866666316986084
17,0.27005499601364136,0.874763011932373,0.3734290897846222,0.38600000739097595
19,0.2794436514377594,0.8334124088287354,0.4955116808414459,0.41333332657814026
21,0.24976228177547455,1.2189860343933105,0.5834829211235046,0.812666654586792
23,0.270814448595047,1.1305171251296997,0.42728903889656067,0.8479999899864197
25,0.23879633843898773,1.1253398656845093,0.3806104063987732,0.9340000152587891
27,0.25480303168296814,1.5511435270309448,0.3698384165763855,0.981333315372467
29,0.23187878727912903,1.5091887712478638,0.47755834460258484,1.0
31,0.22933143377304077,0.9121065139770508,0.6732495427131653,0.6806666851043701
33,0.23659922182559967,0.9462461471557617,0.6373429298400879,0.6646666526794434
35,0.2280445098876953,1.4628633260726929,0.4219030439853668,0.9906666874885559
37,0.255126953125,1.2114027738571167,0.3518851101398468,0.8999999761581421
39,0.22754822671413422,1.7986878156661987,0.36086174845695496,0.9953333139419556
41,0.17951829731464386,1.0724562406539917,0.46319568157196045,0.8026666641235352
43,0.3613225817680359,0.32757988572120667,0.9892280101776123,0.01066666655242443
45,0.22913727164268494,1.1442787647247314,0.3105924725532532,0.8740000128746033
47,0.20216229557991028,1.9954540729522705,0.21364451944828033,0.9986666440963745
49,0.15874053537845612,1.7029346227645874,0.26929983496665955,0.9980000257492065
51,0.20674727857112885,1.5178288221359253,0.35368043184280396,0.9620000123977661
53,0.1600431352853775,2.650456428527832,0.3070017993450165,1.0
55,0.17471137642860413,1.8542399406433105,0.19210053980350494,0.996666669845581
57,0.16138947010040283,2.4136319160461426,0.330341100692749,0.9986666440963745
59,0.12267866730690002,1.8271431922912598,0.36086174845695496,0.984666645526886
61,0.21310816705226898,1.4174556732177734,0.315978467464447,0.8973333239555359
63,0.11860647797584534,2.331281900405884,0.29443445801734924,0.996666669845581
65,0.12245924025774002,2.502692461013794,0.3842010796070099,0.9980000257492065
67,0.09047305583953857,2.6750056743621826,0.416517049074173,0.9993333220481873
69,0.08985114097595215,2.661590814590454,0.43087971210479736,0.9980000257492065
71,0.09050865471363068,3.3030006885528564,0.39317774772644043,0.9986666440963745
73,0.09982039779424667,3.3442370891571045,0.33213645219802856,0.9993333220481873
75,0.09484873712062836,3.746368408203125,0.3105924725532532,1.0
77,0.08188647031784058,3.208130121231079,0.3554757535457611,0.9993333220481873
79,0.08212805539369583,3.490818738937378,0.3267504572868347,0.9986666440963745
81,0.11228068917989731,4.915589809417725,0.23877917230129242,1.0
83,0.18983212113380432,1.7078278064727783,0.7073608636856079,0.9566666483879089
85,0.08812880516052246,2.4115028381347656,0.37881508469581604,0.9800000190734863
87,0.07122444361448288,2.61802077293396,0.27289047837257385,0.9906666874885559
89,0.06851086765527725,3.65109920501709,0.323159784078598,0.9986666440963745
91,0.06475026160478592,3.302138328552246,0.3662477433681488,0.9980000257492065
93,0.05727057158946991,3.7603957653045654,0.3554757535457611,0.9993333220481873
95,0.05788997560739517,3.9427125453948975,0.37522441148757935,0.9993333220481873
97,0.05883946269750595,4.92918586730957,0.3806104063987732,1.0
