Epoch,Discriminator loss,Discriminator loss (Real),Discriminator loss (Fake),Generator loss,Accuracy real,Accuracy fake
0,0.024080953269731253,8.88047507032752e-05,0.04807310178875923,4.437998294830322,0.0,1.0
1,1.9093501567840576,1.3589701652526855,2.4597301483154297,0.21946105360984802,0.98828125,0.0
2,0.5408613085746765,0.47569239139556885,0.6060302257537842,1.5753523111343384,1.0,1.0
3,0.3505023121833801,0.38521188497543335,0.3157927393913269,1.9761700630187988,1.0,1.0
4,0.4038604646921158,0.42934224009513855,0.378378689289093,1.8629841804504395,1.0,0.99609375
5,0.5992181599140167,0.5634369254112244,0.6349993944168091,1.5368664264678955,1.0,0.9765625
6,0.535676896572113,0.5585196614265442,0.5128341317176819,1.9090781211853027,1.0,0.984375
7,0.509490579366684,0.5130977630615234,0.5058833956718445,1.8773311376571655,1.0,0.93359375
8,0.4134772717952728,0.41429340839385986,0.4126611351966858,1.8098340034484863,1.0,1.0
9,0.44753989577293396,0.43381160497665405,0.46126818656921387,1.8419268131256104,1.0,1.0
10,0.46612659096717834,0.43796592950820923,0.49428725242614746,1.869950771331787,1.0,0.9921875
11,0.3665529191493988,0.3697216808795929,0.3633841574192047,1.9422814846038818,0.96875,0.9921875
12,0.3358875513076782,0.3206234872341156,0.35115161538124084,2.1855874061584473,0.8203125,1.0
13,0.3762897402048111,0.3864741027355194,0.3661053776741028,2.166429281234741,0.703125,1.0
14,0.467551589012146,0.4737045168876648,0.4613986611366272,2.0979034900665283,0.578125,0.9765625
15,0.376199871301651,0.3790075480937958,0.3733921945095062,2.138960361480713,0.52734375,1.0
16,0.44736477732658386,0.47373732924461365,0.4209922254085541,1.8788800239562988,0.55078125,1.0
17,0.38435566425323486,0.3734530806541443,0.39525824785232544,2.1771798133850098,0.4453125,0.9921875
18,0.38769376277923584,0.40004199743270874,0.37534552812576294,1.9989043474197388,0.453125,0.98828125
19,0.40460726618766785,0.3639879822731018,0.4452265501022339,2.103686809539795,0.390625,0.99609375
20,0.347959503531456,0.34022068977355957,0.3556983172893524,2.1526222229003906,0.5859375,0.98828125
21,0.2949744313955307,0.2905053496360779,0.2994435131549835,2.173321485519409,0.73046875,0.98828125
22,0.3234417140483856,0.28434377908706665,0.3625396490097046,2.3422467708587646,0.7890625,0.98828125
23,0.32519060373306274,0.3658926486968994,0.2844885587692261,2.1932976245880127,0.890625,1.0
24,0.2623694986104965,0.2628936767578125,0.26184532046318054,2.512540340423584,0.8046875,0.9921875
25,0.3195568919181824,0.30253341794013977,0.336580365896225,2.1901168823242188,0.77734375,0.99609375
26,0.28988663852214813,0.33046242594718933,0.24931085109710693,2.4074389934539795,0.62890625,0.9921875
27,0.2749209851026535,0.2649511694908142,0.2848908007144928,2.783273935317993,0.55078125,1.0
28,0.2736632972955704,0.23718705773353577,0.310139536857605,3.030118465423584,0.453125,0.99609375
29,0.2668006494641304,0.23571012914180756,0.29789116978645325,2.6913113594055176,0.4453125,0.99609375
30,0.2293735295534134,0.2274617999792099,0.23128525912761688,2.58927845954895,0.3984375,1.0
31,0.3404601961374283,0.3310864567756653,0.3498339354991913,3.283228874206543,0.3359375,1.0
32,0.26827850192785263,0.2900151312351227,0.24654187262058258,2.696625232696533,0.359375,1.0
33,0.27088940143585205,0.2612379789352417,0.2805408239364624,3.335183620452881,0.453125,0.98828125
34,0.3124927580356598,0.30505603551864624,0.31992948055267334,2.91410756111145,0.3046875,1.0
35,0.1884417161345482,0.16661182045936584,0.21027161180973053,3.3546948432922363,0.328125,1.0
36,0.22204627096652985,0.2469988465309143,0.19709369540214539,3.3926970958709717,0.484375,1.0
37,0.2115618884563446,0.20370055735111237,0.21942321956157684,3.162104845046997,0.36328125,0.9921875
38,0.2034630998969078,0.1810595542192459,0.2258666455745697,3.3722665309906006,0.390625,1.0
39,0.16502036899328232,0.1524667739868164,0.17757396399974823,3.7417895793914795,0.421875,1.0
40,0.19827910512685776,0.16091865301132202,0.2356395572423935,4.023721694946289,0.4296875,1.0
41,0.28136304020881653,0.2881275713443756,0.27459850907325745,3.8771567344665527,0.44140625,0.99609375
42,0.11107639223337173,0.12978623807430267,0.0923665463924408,3.8955307006835938,0.55078125,1.0
43,0.15144847705960274,0.12469323724508286,0.17820371687412262,3.9884603023529053,0.546875,1.0
44,0.2162724807858467,0.20189185440540314,0.23065310716629028,3.636418342590332,0.515625,0.99609375
45,0.11149178445339203,0.12520164251327515,0.09778192639350891,4.153715133666992,0.578125,0.99609375
46,0.12238982319831848,0.14880996942520142,0.09596967697143555,4.353002548217773,0.609375,1.0
